nsamples r_UCB r_GRD r_UVB
64 0.0829272069813 0.0469982287848 0.0220418731421
128 0.0549158864463 0.0217146891671 0.00877624828298
192 0.0416235391413 0.0121102929942 0.00548589505898
256 0.0319055576898 0.00804669134722 0.0039780216639
320 0.0258199411445 0.0055792301776 0.0035336094908
384 0.0220591039518 0.00456849110595 0.00312676672661
448 0.0182546471878 0.00362421446153 0.00281631058792
512 0.0151712804291 0.00338316220412 0.00260429166503
576 0.0136133669416 0.00309093798238 0.00253860605551
640 0.011555711795 0.00283037697825 0.00247501347172
704 0.00999481175891 0.00274912605566 0.00250534947137
768 0.00901384643038 0.00253054174004 0.00247372088933
832 0.00797406009439 0.00246483204436 0.00236264038195
896 0.00714303056878 0.00245515615514 0.00222368850033
960 0.0068506864265 0.00216480859503 0.00223952978823
1024 0.00640914542873 0.00228256301066 0.0021358231958
1088 0.00610719798118 0.0021244499338 0.00228054288107
